Material,Time lapse,First Derivative
38-1482-03,369.92054,-0.06000240009585442
38-1482-03,369.9375,0.0
38-1482-03,369.954167,-0.05999880002405051
38-1482-03,369.970833,0.12000480019169552
38-1482-03,369.9875,0.05999880002405051
38-1482-03,370.004167,0.0
38-1482-03,370.020833,-0.12000480019210481
38-1482-03,370.0375,0.11999760004770509
38-1482-03,370.054167,0.05999880002406383
38-1482-03,370.070833,0.0
38-1482-03,370.0875,-0.17999640007217818
38-1482-03,370.104167,0.0
38-1482-03,370.120833,0.12000480019210481
38-1482-03,370.1375,-0.17999640007216486
38-1482-03,370.154167,0.23999520009622868
38-1482-03,370.170833,-0.18000720028754993
38-1482-03,370.1875,0.05999880002406383
38-1482-03,370.20446,0.0
38-1482-03,370.221126,0.060002400095841096
38-1482-03,370.237793,-0.17999640007216486
38-1482-03,370.25446,0.23999520009622868
38-1482-03,370.271126,-0.06000240009605907
38-1482-03,370.287793,-0.05999880002384588
38-1482-03,370.30446,0.05999880002405051
38-1482-03,370.321126,0.0
38-1482-03,370.337793,0.0
38-1482-03,370.35446,0.059998800023859204
38-1482-03,370.371126,0.0
38-1482-03,370.387793,-0.11999760004811434
38-1482-03,370.40446,0.0
38-1482-03,370.421126,-0.06000240009585442
38-1482-03,370.437793,0.17999640007217818
38-1482-03,370.45446,0.0
38-1482-03,370.471387,-0.05907721391856441
38-1482-03,370.488053,-0.060002400096045745
38-1482-03,370.50472,0.11999760004770509
38-1482-03,370.521387,0.05999880002405051
38-1482-03,370.538053,0.06000240009605907
38-1482-03,370.55472,0.0
38-1482-03,370.571387,-0.11999760004770509
38-1482-03,370.588053,-0.06000240009605907
38-1482-03,370.60472,-0.17999640007216486
38-1482-03,370.621387,0.11999760004770509
38-1482-03,370.638053,0.060002400096045745
38-1482-03,370.65472,0.23999520009622868
38-1482-03,370.671387,-0.05999880002405051
38-1482-03,370.688053,-0.12000480019169552
38-1482-03,370.70472,0.0
38-1482-03,370.721387,0.0
38-1482-03,370.738346,-0.05896574090459066
38-1482-03,370.755013,0.0
38-1482-03,370.77168,0.17999640007217818
38-1482-03,370.788346,-0.1800072002881639
38-1482-03,370.805013,0.17999640007217818
38-1482-03,370.82168,-0.059998800023859204
38-1482-03,370.838346,-0.060002400096045745
38-1482-03,370.855013,0.11999760004811434
38-1482-03,370.87168,-0.11999760004770509
38-1482-03,370.888346,0.0
38-1482-03,370.905013,0.0
38-1482-03,370.92168,0.05999880002405051
38-1482-03,370.938346,0.0
38-1482-03,370.955013,-0.05999880002405051
38-1482-03,370.97168,0.05999880002405051
38-1482-03,370.988346,0.0
38-1482-03,371.005273,0.0
38-1482-03,371.02194,0.11999760004811434
38-1482-03,371.038607,-0.11999760004770509
38-1482-03,371.055273,0.0
38-1482-03,371.07194,0.0
38-1482-03,371.088607,-0.05999880002384588
38-1482-03,371.105273,0.18000720028815057
38-1482-03,371.12194,-0.11999760004811434
38-1482-03,371.138607,-0.05999880002405051
38-1482-03,371.155273,0.060002400095841096
38-1482-03,371.17194,0.05999880002406383
38-1482-03,371.188607,0.05999880002405051
38-1482-03,371.205273,-0.060002400096045745
38-1482-03,371.22194,0.0
38-1482-03,371.238607,0.0
38-1482-03,371.255273,-0.06000240009605907
38-1482-03,371.272233,0.23584905660321678
38-1482-03,371.2889,-0.11999760004811434
38-1482-03,371.305566,-0.060002400096045745
38-1482-03,371.322233,0.05999880002405051
38-1482-03,371.3389,0.0
38-1482-03,371.355566,-0.060002400096045745
38-1482-03,371.372233,-0.05999880002406383
38-1482-03,371.3889,0.17999640007217818
38-1482-03,371.405566,-0.06000240009585442
38-1482-03,371.422233,0.0
38-1482-03,371.4389,-0.11999760004811434
38-1482-03,371.455566,0.12000480019210481
38-1482-03,371.472233,-0.05999880002384588
38-1482-03,371.4889,0.17999640007216486
38-1482-03,371.505566,-0.060002400096045745
38-1482-03,371.522233,-0.059998800023859204
38-1482-03,371.53916,0.0
38-1482-03,371.555827,0.0
38-1482-03,371.572493,0.06000240009605907
38-1482-03,371.58916,-0.05999880002406383
38-1482-03,371.605827,0.11999760004811434
38-1482-03,371.622493,0.0
38-1482-03,371.63916,-0.11999760004811434
38-1482-03,371.655827,0.0
38-1482-03,371.672493,-0.060002400096045745
38-1482-03,371.68916,-0.059998800023859204
38-1482-03,371.705827,0.17999640007217818
38-1482-03,371.722493,0.0
38-1482-03,371.73916,0.11999760004770509
38-1482-03,371.755827,-0.11999760004811434
38-1482-03,371.772493,-0.06000240009605907
38-1482-03,371.78916,0.11999760004811434
38-1482-03,371.80612,-0.11792452830160839
38-1482-03,371.822786,0.06000240009605907
38-1482-03,371.839453,0.0
38-1482-03,371.85612,-0.11999760004811434
38-1482-03,371.872786,0.24000960038339103
38-1482-03,371.889453,-0.17999640007217818
38-1482-03,371.90612,0.23999520009622868
38-1482-03,371.922786,-0.060002400096045745
38-1482-03,371.939453,-0.29999400011926936
38-1482-03,371.95612,0.11999760004811434
38-1482-03,371.972786,0.0
38-1482-03,371.989453,0.17999640007156428
38-1482-03,372.00612,-0.05999880002406383
38-1482-03,372.022786,0.12000480019210481
38-1482-03,372.039453,-0.11999760004811434
38-1482-03,372.05612,0.0
38-1482-03,372.073047,-0.059077213918749684
38-1482-03,372.089714,0.05999880002384588
38-1482-03,372.10638,0.0
38-1482-03,372.123047,0.05999880002406383
38-1482-03,372.139714,-0.059998800023859204
38-1482-03,372.15638,-0.12000480019210481
38-1482-03,372.173047,0.11999760004811434
38-1482-03,372.189714,0.0
38-1482-03,372.20638,0.0
38-1482-03,372.223047,0.0
38-1482-03,372.239714,-0.05999880002405051
38-1482-03,372.25638,0.12000480019210481
38-1482-03,372.273047,-0.059998800023859204
38-1482-03,372.289714,0.11999760004811434
38-1482-03,372.30638,0.0
38-1482-03,372.323047,-0.05999880002405051
38-1482-03,372.340007,-0.058962264150810746
38-1482-03,372.356673,0.0
38-1482-03,372.37334,0.05999880002406383
38-1482-03,372.390007,0.0
38-1482-03,372.406673,0.060002400096045745
38-1482-03,372.42334,-0.17999640007216486
38-1482-03,372.440007,0.0
38-1482-03,372.456673,0.060002400095841096
38-1482-03,372.47334,0.05999880002406383
38-1482-03,372.490007,0.05999880002405051
38-1482-03,372.506673,-0.060002400096045745
38-1482-03,372.52334,0.0
38-1482-03,372.540007,0.05999880002405051
38-1482-03,372.556673,0.0
38-1482-03,372.57334,-0.17999640007216486
38-1482-03,372.590007,0.11999760004770509
38-1482-03,372.606934,0.059077213918551294
38-1482-03,372.6236,0.0
38-1482-03,372.640267,-0.05999880002405051
38-1482-03,372.656934,0.0
38-1482-03,372.6736,-0.12000480019169552
38-1482-03,372.690267,0.17999640007216486
38-1482-03,372.706934,0.0
38-1482-03,372.7236,0.0
38-1482-03,372.740267,0.059998800023859204
38-1482-03,372.756934,-0.05999880002406383
38-1482-03,372.7736,0.0
38-1482-03,372.790267,0.05999880002406383
38-1482-03,372.806934,0.0
38-1482-03,372.8236,0.0
38-1482-03,372.8236,
38-1482-03,372.840267,-0.17999640007217818
38-1482-03,372.857227,0.058962264150810746
38-1482-03,372.873893,0.060002400096045745
38-1482-03,372.89056,0.05999880002406383
38-1482-03,372.907227,0.11999760004811434
38-1482-03,372.923893,-0.12000480019169552
38-1482-03,372.94056,-0.23999520009622868
38-1482-03,372.957227,0.05999880002405051
38-1482-03,372.973893,0.1800072002881639
38-1482-03,372.99056,0.0
38-1482-03,373.007227,-0.11999760004811434
38-1482-03,373.023893,0.060002400096045745
38-1482-03,373.04056,0.17999640007156428
38-1482-03,373.057227,-0.05999880002406383
38-1482-03,373.073893,-0.060002400096045745
38-1482-03,373.09056,0.0
38-1482-03,373.107227,-0.059998800023859204
38-1482-03,373.124154,0.0590772139187628
38-1482-03,373.14082,0.0
38-1482-03,373.157487,0.0
38-1482-03,373.174154,0.0
38-1482-03,373.19082,-0.1800072002881639
38-1482-03,373.207487,0.17999640007156428
38-1482-03,373.224154,0.0
38-1482-03,373.24082,0.12000480019210481
38-1482-03,373.257487,0.0
38-1482-03,373.274154,-0.11999760004811434
38-1482-03,373.29082,0.12000480019210481
38-1482-03,373.307487,0.0
38-1482-03,373.324154,0.0
38-1482-03,373.34082,-0.12000480019210481
38-1482-03,373.357487,-0.05999880002406383
38-1482-03,373.374154,0.05999880002406383
38-1482-03,373.391113,0.05896574090437993
38-1482-03,373.40778,0.05999880002406383
38-1482-03,373.424447,0.05999880002405051
38-1482-03,373.441113,0.06000240009605907
38-1482-03,373.45778,-0.23999520009541017
38-1482-03,373.474447,0.0
38-1482-03,373.491113,0.24000960038420963
38-1482-03,373.50778,-0.11999760004770509
38-1482-03,373.524447,-0.05999880002406383
38-1482-03,373.541113,0.12000480019210481
38-1482-03,373.55778,0.05999880002406383
38-1482-03,373.574447,-0.17999640007156428
38-1482-03,373.591113,0.0
38-1482-03,373.60778,0.05999880002406383
38-1482-03,373.624447,0.05999880002405051
38-1482-03,373.641113,-0.1800072002875366
38-1482-03,373.65804,0.1181544278371157
38-1482-03,373.674707,0.0
38-1482-03,373.691374,0.17999640007216486
38-1482-03,373.70804,-0.18000720028815057
38-1482-03,373.724707,0.05999880002384588
38-1482-03,373.741374,0.0
38-1482-03,373.75804,-0.060002400096045745
38-1482-03,373.774707,0.0
38-1482-03,373.791374,0.0
38-1482-03,373.80804,0.060002400096045745
38-1482-03,373.824707,-0.11999760004811434
38-1482-03,373.841374,0.23999520009622868
38-1482-03,373.85804,-0.060002400095841096
38-1482-03,373.874707,-0.05999880002406383
38-1482-03,373.891374,0.11999760004811434
38-1482-03,373.90804,-0.12000480019169552
38-1482-03,373.925,0.0
38-1482-03,373.941667,0.0
38-1482-03,373.958333,-0.060002400096045745
38-1482-03,373.975,0.05999880002384588
38-1482-03,373.991667,0.05999880002406383
